|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|   8 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            0.628186 |        0.00130576 |       0.00163184 |                  8 |                   64 |       1 |         0.122769  |
|  69 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            0.635244 |        0.00140033 |       0.00165757 |                  8 |                   64 |       2 |         0.122769  |
| 104 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            1.17038  |        0.00177693 |       0.00308752 |                 16 |                   64 |       1 |         0.198345  |
| 136 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            1.17925  |        0.00205069 |       0.00310965 |                 16 |                   64 |       2 |         0.198345  |
|  56 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            1.2015   |        0.00208355 |       0.00321395 |                 16 |                   64 |       4 |         0.198345  |
|  13 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            2.33245  |        0.00236253 |       0.00350614 |                 32 |                   64 |       1 |         0.198345  |
|  17 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            2.33647  |        0.00247142 |       0.00360678 |                 32 |                   64 |       2 |         0.198345  |
|  39 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            2.36319  |        0.00280076 |       0.0037     |                 32 |                   64 |       4 |         0.198345  |
| 132 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            2.47149  |        0.00298754 |       0.00403249 |                 32 |                   64 |       8 |         0.198345  |
|  55 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            4.65179  |        0.00320667 |       0.00438968 |                 64 |                   64 |       1 |         0.198345  |
