|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  50 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            2.6002   |        0.00495914 |       0.00424585 |                 32 |                   16 |       8 |         0.198345  |
|  82 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            3.01316  |        0.00541993 |       0.00495952 |                 32 |                   16 |      16 |         0.198345  |
| 124 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            4.88978  |        0.00356328 |       0.00480772 |                 64 |                   16 |       1 |         0.198345  |
|  71 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            4.89761  |        0.0042109  |       0.0048873  |                 64 |                   16 |       2 |         0.198345  |
| 139 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            4.93585  |        0.00555476 |       0.00502014 |                 64 |                   16 |       4 |         0.198345  |
| 159 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            5.04921  |        0.00817046 |       0.00522757 |                 64 |                   16 |       8 |         0.198345  |
|  63 |               682572 |        544188 |         138384 |                384 |           384 |              0 |          0.000563 |         0.000563 |          0        |               0 |            5.46711  |        0.00869408 |       0.00594072 |                 64 |                   16 |      16 |         0.198345  |
| 121 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            2.61096  |        0.0027803  |       0.00402312 |                 32 |                    8 |       1 |         0.198345  |
| 156 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            2.62704  |        0.00348571 |       0.00413226 |                 32 |                    8 |       2 |         0.198345  |
| 150 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            2.66221  |        0.00486419 |       0.004278   |                 32 |                    8 |       4 |         0.198345  |
| 111 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            2.77155  |        0.00755843 |       0.00450082 |                 32 |                    8 |       8 |         0.198345  |
| 161 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            3.1815   |        0.00811044 |       0.00524636 |                 32 |                    8 |      16 |         0.198345  |
|  83 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            5.1594   |        0.00453124 |       0.0069958  |                 64 |                    8 |       2 |         0.245104  |
