|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 125 |                37452 |         30396 |           7056 |                 12 |            12 |              0 |          0.00032  |         0.00032  |                 0 |               0 |            5.30272  |        0.00606952 |       0.00566048 |                 64 |                   32 |      16 |         0.198345  |
| 101 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.337694 |        0.00105559 |       0.00122224 |                  4 |                   16 |       1 |         0.100959  |
| 162 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.345793 |        0.00129862 |       0.00124939 |                  4 |                   16 |       2 |         0.100959  |
|  77 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.371394 |        0.00136658 |       0.00134117 |                  4 |                   16 |       4 |         0.100959  |
|  84 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.659658 |        0.00157105 |       0.0016993  |                  8 |                   16 |       1 |         0.122769  |
| 135 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.667987 |        0.00161649 |       0.00177993 |                  8 |                   16 |       2 |         0.122769  |
|  64 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.694171 |        0.00200804 |       0.00191667 |                  8 |                   16 |       4 |         0.122769  |
|   2 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            0.802464 |        0.00222154 |       0.00227444 |                  8 |                   16 |       8 |         0.122769  |
|  49 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            1.22682  |        0.00202986 |       0.00319949 |                 16 |                   16 |       1 |         0.198345  |
|   5 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            1.23454  |        0.00243002 |       0.00330138 |                 16 |                   16 |       2 |         0.198345  |
| 109 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            1.26273  |        0.00311473 |       0.00340763 |                 16 |                   16 |       4 |         0.198345  |
|  53 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            1.37407  |        0.00330541 |       0.00373859 |                 16 |                   16 |       8 |         0.198345  |
| 116 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            1.78649  |        0.00376725 |       0.00448155 |                 16 |                   16 |      16 |         0.198345  |
|  65 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            2.45374  |        0.00248905 |       0.00379122 |                 32 |                   16 |       1 |         0.198345  |
|  26 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            2.46376  |        0.00287299 |       0.00389048 |                 32 |                   16 |       2 |         0.198345  |
| 144 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            2.49489  |        0.00360027 |       0.00402962 |                 32 |                   16 |       4 |         0.198345  |
|  50 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            2.6002   |        0.00495914 |       0.00424585 |                 32 |                   16 |       8 |         0.198345  |
|  82 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            3.01316  |        0.00541993 |       0.00495952 |                 32 |                   16 |      16 |         0.198345  |
| 124 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            4.88978  |        0.00356328 |       0.00480772 |                 64 |                   16 |       1 |         0.198345  |
|  71 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            4.89761  |        0.0042109  |       0.0048873  |                 64 |                   16 |       2 |         0.198345  |
| 139 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            4.93585  |        0.00555476 |       0.00502014 |                 64 |                   16 |       4 |         0.198345  |
| 159 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            5.04921  |        0.00817046 |       0.00522757 |                 64 |                   16 |       8 |         0.198345  |
|  63 |                37452 |         30396 |           7056 |                 24 |            24 |              0 |          0.000641 |         0.000641 |                 0 |               0 |            5.46711  |        0.00869408 |       0.00594072 |                 64 |                   16 |      16 |         0.198345  |
|  29 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.35748  |        0.00113625 |       0.00125344 |                  4 |                    8 |       1 |         0.100959  |
|  22 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.379481 |        0.00172488 |       0.00105965 |                  4 |                    8 |       2 |         0.0990866 |
|  87 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.405981 |        0.00180993 |       0.00115368 |                  4 |                    8 |       4 |         0.0990866 |
| 138 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.503263 |        0.00195078 |       0.00181478 |                  4 |                    8 |       8 |         0.100959  |
|  38 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.695834 |        0.00160164 |       0.00180134 |                  8 |                    8 |       1 |         0.122769  |
|  24 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.705077 |        0.0019999  |       0.00189454 |                  8 |                    8 |       2 |         0.122769  |
| 143 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.734511 |        0.00270373 |       0.00200403 |                  8 |                    8 |       4 |         0.122769  |
|  90 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            0.847937 |        0.00291219 |       0.00234191 |                  8 |                    8 |       8 |         0.122769  |
| 119 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            1.22632  |        0.00351819 |       0.00355795 |                  8 |                    8 |      16 |         0.176461  |
|  93 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            1.31626  |        0.00210244 |       0.00340221 |                 16 |                    8 |       1 |         0.198345  |
