|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  86 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            1.35825  |        0.00325521 |       0.00365937 |                 16 |                    8 |       4 |         0.198345  |
|  62 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            1.46184  |        0.00466054 |       0.00389189 |                 16 |                    8 |       8 |         0.198345  |
|  27 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            1.8732   |        0.00514206 |       0.00461744 |                 16 |                    8 |      16 |         0.198345  |
| 121 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            2.61096  |        0.0027803  |       0.00402312 |                 32 |                    8 |       1 |         0.198345  |
| 156 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            2.62704  |        0.00348571 |       0.00413226 |                 32 |                    8 |       2 |         0.198345  |
| 150 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            2.66221  |        0.00486419 |       0.004278   |                 32 |                    8 |       4 |         0.198345  |
| 111 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            2.77155  |        0.00755843 |       0.00450082 |                 32 |                    8 |       8 |         0.198345  |
| 161 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            3.1815   |        0.00811044 |       0.00524636 |                 32 |                    8 |      16 |         0.198345  |
|  83 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            5.1594   |        0.00453124 |       0.0069958  |                 64 |                    8 |       2 |         0.245104  |
| 163 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            5.17218  |        0.00369343 |       0.00540693 |                 64 |                    8 |       1 |         0.198345  |
|  36 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            5.20842  |        0.00587973 |       0.00716333 |                 64 |                    8 |       4 |         0.245104  |
| 154 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            5.33004  |        0.00863865 |       0.0074718  |                 64 |                    8 |       8 |         0.245104  |
| 140 |               280576 |        264192 |          16384 |                512 |            49 |            463 |          0.001825 |         0.000175 |          0.00165  |               0 |            5.7539   |        0.0141042  |       0.00796793 |                 64 |                    8 |      16 |         0.245104  |
|  19 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            1.47955  |        0.00240605 |       0.00364399 |                 16 |                    4 |       1 |         0.198345  |
|  57 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            1.49402  |        0.00312971 |       0.00375799 |                 16 |                    4 |       2 |         0.198345  |
|  79 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            1.5296   |        0.0045521  |       0.00391435 |                 16 |                    4 |       4 |         0.198345  |
|   4 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            1.63722  |        0.00732578 |       0.00415346 |                 16 |                    4 |       8 |         0.198345  |
| 153 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            2.04647  |        0.00791499 |       0.00491252 |                 16 |                    4 |      16 |         0.198345  |
|  34 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            2.90125  |        0.00291407 |       0.00463935 |                 32 |                    4 |       1 |         0.198345  |
| 127 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            2.91074  |        0.00386718 |       0.00632362 |                 32 |                    4 |       2 |         0.245104  |
| 113 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            2.9566   |        0.00525587 |       0.0065013  |                 32 |                    4 |       4 |         0.245104  |
|  44 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            3.08108  |        0.00813257 |       0.0068376  |                 32 |                    4 |       8 |         0.245104  |
