|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  94 |               167827 |        167827 |              0 |                 50 |            50 |              0 |          0.000298 |         0.000298 |                 0 |               0 |            4.79815  |        0.00434792 |       0.00483248 |                 64 |                   64 |       8 |         0.198345  |
|  14 |               167827 |        167827 |              0 |                 50 |            50 |              0 |          0.000298 |         0.000298 |                 0 |               0 |            5.22044  |        0.00476889 |       0.00553201 |                 64 |                   64 |      16 |         0.198345  |
|  16 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            1.18924  |        0.00185347 |       0.00311707 |                 16 |                   32 |       1 |         0.198345  |
| 152 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            1.19804  |        0.00236843 |       0.00317827 |                 16 |                   32 |       2 |         0.198345  |
| 106 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            1.22337  |        0.00244952 |       0.00326834 |                 16 |                   32 |       4 |         0.198345  |
|   0 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            1.3301   |        0.00263949 |       0.00367359 |                 16 |                   32 |       8 |         0.198345  |
|  92 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            2.36666  |        0.00241397 |       0.0035936  |                 32 |                   32 |       1 |         0.198345  |
|  97 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            2.37405  |        0.00280442 |       0.00368919 |                 32 |                   32 |       2 |         0.198345  |
|   9 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            2.40169  |        0.00346348 |       0.00378406 |                 32 |                   32 |       4 |         0.198345  |
|  74 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            2.51444  |        0.00363697 |       0.00409584 |                 32 |                   32 |       8 |         0.198345  |
|  78 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            2.92891  |        0.00408633 |       0.00482775 |                 32 |                   32 |      16 |         0.198345  |
|  35 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            4.73661  |        0.00328028 |       0.00458242 |                 64 |                   32 |       1 |         0.198345  |
|  73 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            4.74038  |        0.0036229  |       0.0046554  |                 64 |                   32 |       2 |         0.198345  |
|  98 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            4.77257  |        0.00432381 |       0.00477836 |                 64 |                   32 |       4 |         0.198345  |
|  25 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            4.88189  |        0.00563712 |       0.00497919 |                 64 |                   32 |       8 |         0.198345  |
| 125 |               167827 |        167827 |              0 |                100 |           100 |              0 |          0.000596 |         0.000596 |                 0 |               0 |            5.30272  |        0.00606952 |       0.00566048 |                 64 |                   32 |      16 |         0.198345  |
|  49 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            1.22682  |        0.00202986 |       0.00319949 |                 16 |                   16 |       1 |         0.198345  |
|   5 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            1.23454  |        0.00243002 |       0.00330138 |                 16 |                   16 |       2 |         0.198345  |
| 109 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            1.26273  |        0.00311473 |       0.00340763 |                 16 |                   16 |       4 |         0.198345  |
|  53 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            1.37407  |        0.00330541 |       0.00373859 |                 16 |                   16 |       8 |         0.198345  |
| 116 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            1.78649  |        0.00376725 |       0.00448155 |                 16 |                   16 |      16 |         0.198345  |
|  65 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            2.45374  |        0.00248905 |       0.00379122 |                 32 |                   16 |       1 |         0.198345  |
|  26 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            2.46376  |        0.00287299 |       0.00389048 |                 32 |                   16 |       2 |         0.198345  |
| 144 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            2.49489  |        0.00360027 |       0.00402962 |                 32 |                   16 |       4 |         0.198345  |
|  50 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            2.6002   |        0.00495914 |       0.00424585 |                 32 |                   16 |       8 |         0.198345  |
